,MTD % Change
Nifty Midcap 50,7.37
Nifty Midcap 100,7.19
Nifty 50,5.53
Nifty 200,5.26
Nifty 100,5.05
Nifty Midcap 150,4.82
Nifty 500,4.41
Nifty500 LargeMidSmall Equal-Cap Weighted,4.41
Nifty500 Multicap 50:25:25,3.91
Nifty Next 50,2.6
Nifty Smallcap 100,0.0
Nifty Smallcap 50,0.0
Nifty Microcap 250,0.0
Nifty MidSmallcap 400,0.0
Nifty Midcap Select,0.0
Nifty Smallcap 250,0.0
Nifty LargeMidcap 250,0.0
Nifty Total Market,0.0
